id,summary,clean_skills
imanuel-portalatin-68571960,"Experienced Systems and Software engineer with proven track record of leadership through management of diverse engineering teams in complex projects. Expert in simulation and modeling of sensor, vehicle and weapon systems. Trained in electrical engineering with excellent knowledge of radar design, electromagnetic propagation and DSP. Multidisciplinary education in System Engineering ranging from optimization, stochastic systems and mathematical programming to human factors engineering and decision analysis. Private pilot, boater, auto-enthusiast and avid world traveler who is passionate about mobile technologies, embedded systems and transportation, among other things. Excellent verbal and written communication. Fluent in both English and Spanish with basic training in French and Japanese.
certifications: 
courses: ","['Simulation and modeling of sensor, vehicle and weapon systems', 'Radar design', 'Electromagnetic propagation', 'DSP', 'Optimization', 'Stochastic systems', 'Mathematical programming', 'Human factors engineering', 'Decision analysis', 'Mobile technologies', 'Embedded systems', 'Transportation', 'English (fluent)', 'Spanish (fluent)', 'French (basic)', 'Japanese (basic)']"
muhammad-azeem-3674282b,"I am PhD Chemical Ecology/Analytical Chemistry from KTH Royal Institute of Technology, Stockholm, Sweden. After PhD I did Post-doctoral research at karolinska Institute, Stockholm, Sweden. I am working as Assistant Professor of Chemistry in COMSATS Institute of Information Technology, Pakistan. Currently, I am working as post-doctoral researcher at University of Wisconsin-Madison, WI, USA
certifications: 
courses: ","['PhD Chemical Ecology/Analytical Chemistry, KTH Royal Institute of Technology', 'Post-doctoral research, karolinska Institute', 'Assistant Professor of Chemistry, COMSATS Institute of Information Technology', 'Post-doctoral researcher, University of Wisconsin-Madison', 'Assistant Professor of Chemistry', 'Post-doctoral researcher']"
jennifer-braun-66549323,"Experienced Executive Director with a demonstrated history of working in non-profit organizational management and public health. Skilled in nonprofit organization, community organizing, grant writing, public health, substance abuse prevention, health equity, behavioral health, evaluation, strategic planning, event management, fundraising, leadership development, social media planning and marketing. Strong business development professional with a Bachelor's degree in Communications from UW-Whitewater and certificates from the Community Anti-Drug Coalitions of America (CADCA) Coalition Academy, QPR Institute, Healthy Wisconsin Leadership Institute and the Rock County Leadership Development Academy.
certifications: 
courses: ","['Executive Director', 'Nonprofit organization', 'Community organizing', 'Grant writing', 'Public health', 'Substance abuse prevention', 'Health equity', 'Behavioral health', 'Evaluation', 'Strategic planning', 'Event management', 'Fundraising', 'Leadership development', 'Social media planning and marketing', 'Business development', ""Bachelor's degree in Communications from UW-Whitewater"", 'CADCA Coalition Academy certificate', 'QPR Institute certificate', 'Healthy Wisconsin Leadership Institute certificate', 'Rock County Leadership Development Academy certificate']"
rajat-garg-47a8a254,"Postdoctoral researcher working on methodology development in solid state Nuclear Magnetic Resonance spectroscopy for applications to structure elucidation of nucleic acids.
certifications: 
courses: NMR in Physics and Biology, Selected Analytical Techniques, ","['Postdoctoral researcher', 'Solid state Nuclear Magnetic Resonance spectroscopy', 'Nucleic acid structure elucidation', 'NMR in Physics and Biology course', 'Selected Analytical Techniques course']"
casidy-landry-11489069,"I am the best of both worlds. I am a lady born in a big city but in a small town. I understand the social constructs of both and blossom wherever my feet take me. You can count on me to bring the fun, lead the group, empower others, and boost morale. I can perform a kick-butt speech when needed, but being behind the scenes and building the framework is where I thrive. As a previous educator, I was passionate about seeing students adapt and grow. They are such intelligent beings just trying to navigate life; It was a blessing to witness students achieve things they never thought possible. My favorite moment is when the lightbulb flips on, and you see it in their face, that they understand and feel proud. As a Marketing and Communications Associate for the University of Wisconsin - Extension, it is my passion to cultivate an engaging and creative knowledge base for our community through newsletters, social media, webpages, flyers, and so much more. We work together as a team to spread awareness of the resources and programs our educators have to offer. In 2022, I received by degree in Business Administration with a Marketing concentration. I dabble in all things marketing and enjoy learning about computer programming languages. Ya know... Just a little ""light"" reading. Raising two wildflowers, paddle boarding, reading every book I can get my hands on, and being endlessly grateful for what nature has to offer nicely sums up my personal life.
certifications: Building an Audience on Instagram for Creators, Content Marketing: Newsletters, 
courses: ","['Educator', 'Marketing and Communications Associate', 'Instagram', 'Business Administration with Marketing Concentration (2022)', 'Content Marketing', 'Newsletters', 'Computer Programming Languages']"
lauren-armbruster-4239456b,"I am an analyst and operations lead at the MITRE Corporation, a not for profit organization which operates Federally Funded Research and Development Centers (FFRDCs). I provide holistic solutions for the U.S. government’s most complicated strategic problems through my expertise in acquisition and evaluation of commercial data, managing diverse teams, and collaborative shaping of emerging technologies.
certifications: Project Management Professional (PMP)®, 
courses: Causal Analysis, Data Mining, Data Visualization, Elementary Statistics, Hypothesis Testing, Introduction to Programming, Religions of the World, Strategy Assessment, Dependable Artificial Intelligence: Assurance, Testing and Evaluation, Foundations in Strategic Foresight, Introduction to Big Data, ","['10+ years experience', 'Analyst', 'Operations Lead', 'PMP®', 'Data Mining', 'Data Visualization', 'Elementary Statistics', 'Hypothesis Testing', 'Dependable Artificial Intelligence', 'Foundations in Strategic Foresight', 'Introduction to Big Data']"
sean-mccormick-845253127,"Apply engineering knowledge to the real world and learn and adapt to changing, working environments in an employment setting
certifications: 
courses: ",[]
fatma-ezzahra-besbes-31107a130,"An agronomic engineer, majored in agronomic sciences and minored in crop protection. Holder of a MSc in Precision Integrated Pest Management and looking for a related PhD position. Being a plant health enthusiast wasn't a choice made by chance, but a choice made with passion.
certifications: DELF B2 ( Diplôme En Langue Française ), 
courses: Entomology, Nematology, Organic Agriculture, Phytopathology, Phytopharmacy, Plant biotechnology and genetics, Statistics, Weed Science, Forecasting Modelling, Good Agriculture Practices and certification in the global market, IPM concepts and regulations, Remote sensing technology, GPS/GIS and spatial distribution analyses, ","['Agronomic Engineer', 'MSc in Precision Integrated Pest Management', 'DELF B2 ', 'Entomology, Nematology, Organic Agriculture, Phytopathology, Phytopharmacy, Plant biotechnology and genetics, Statistics, Weed Science, Forecasting Modelling, Good Agriculture Practices, IPM concepts and regulations, Remote sensing technology, GPS/GIS and spatial distribution analyses']"
slavomirzapata,"I bring over 15 years of experience as a top performing leader with a successful record of delivering complex business transformation for the Federal Government. I bring strength in Healthcare advisory – having provided strategic health care leadership and having optimized health systems and practice. I am a creative problem solver who relies on a data driven approach and business judgment when leading high impact projects and improving team performance. I am comfortable working up and across the organization, and am adept at managing high levels of risk, ambiguity, and complexity. I thrive in dynamic and fluid environments while remaining pragmatic and focused. I was chosen as a Metro DC ""40 Under 40 Emerging Leader"" by the Leadership Center for Excellence (2017).
certifications: Lean Six Sigma Yellow Belt Certification, Federal Acquisition Certification in Project and Program Management (FAC-P/PM), 
courses: ","['15+ years experience', 'Metro DC ""40 Under 40 Emerging Leader"" by the Leadership Center for Excellence (2017).', 'Healthcare advisory ', 'Strategic health care leadership ', 'Optimized health systems and practice', 'Creative problem solver ', 'Data-driven leader', 'High impact projects ', 'Team performance improvement', 'Management of risk, ambiguity, and complexity', 'Lean Six Sigma Yellow Belt Certification', 'Federal Acquisition Certification in Project and Program Management (FAC-P/PM)']"
alicia-walker-7b08b2120,"I am a graduate from the University of Wisconsin-Madison (UW-Madison) with an extensive background in scientific research from universities such UW-Madison and the University of Chicago. However, I have become completely enamoured with the French language and culture which led me to majoring in French at UW-Madison and teaching English in France. I worked as an English instructor for medical secretaries and medical administrative assistants in Paris focusing on English communication and vocabulary related to human anatomy. I have worked as the main middle school English teacher for IFEA in Clichy. I've been able to interact with a wide array of individuals and adapt my personal teaching style to different students of all ages.
certifications: TEFL Graduate - Certificate in English Grammar, 
courses: ","['University of Wisconsin-Madison Graduate', 'English Instructor, IFEA, Clichy, Paris', 'English Instructor, Medical Secretaries and Assistants, Paris', 'TEFL Graduate', 'Certificate in English Grammar']"
brian-goode-27664653,"Experienced with modeling, machine learning, system dynamics, control theory, experimental verification, advanced mathematics and application development.
certifications: GMDSS Radio Maintainer, GMDSS Radio Operator, General Radiotelephone Operator + Ship Radar, Marine Advanced Electrical Technician, Marine Diesel Technician, Marine Electrical Technician, EPA Section 608 Certification (Universal), Marine Air Conditioning and Refrigeration Technician, Marine Corrosion Technician, Marine Systems Technician, 
courses: ","['GMDSS Radio Maintainer certification', 'GMDSS Radio Operator certification', 'General Radiotelephone Operator + Ship Radar certification', 'Marine Advanced Electrical Technician certification', 'Marine Diesel Technician certification', 'Marine Electrical Technician certification', 'EPA Section 608 Certification (Universal)', 'Marine Air Conditioning and Refrigeration Technician certification', 'Marine Corrosion Technician certification', 'Marine Systems Technician certification']"
michael-szulczewski-77893b58,"I'm a programmer and engineer working in software development, machine learning, and simulation.
certifications: 
courses: ","['Programmer and Engineer', 'Software development, machine learning, simulation']"
megan-mabrey-63b727129,"I am a dedicated professional who currently supports digital ops design and integrations in the cellphone industry with over 15 years of experience. I believe to strive for excellence you execute on your controllables and challenge how things have always been done to find new ways to continuously improve. ""To improve is to change; to be perfect is to change often.""
certifications: 
courses: ","['15+ years of experience in digital ops design and integrations', 'cellphone industry', 'Dedicated professional who strives for excellence and challenges the status quo']"
laurenttherivel,"I have the honor to serve as president and CEO for UScellular. I'm focused on growing UScellular's business and positioning the company for future success. I joined UScellular in July 2020, bringing more than 15 years of experience in the wireless industry, including more than 10 years at AT&T, where I held roles as Chief Financial Officer of AT&T Business Solutions, Senior Vice President of Strategy, Senior Vice President of Small Business Solutions, and most recently as CEO of AT&T Mexico. Prior to my time with AT&T, I was Chief Operating Officer of IPcelerate, Inc, and served as a consultant at Bain & Company. I also served nearly five years with the U.S. Marine Corps, earning the rank of Captain and serving as a telecommunications officer in Southeast Asia and San Diego. I earned Bachelor's degrees in Business Administration and Marketing from Texas A&M University and a Master's degree in Business Administration from Harvard Business School. I live in the Chicago area with my wife and two daughters.
certifications: 
courses: ","['President and CEO of UScellular, 2020 - Present', '15+ years of experience in the wireless industry', 'Chief Financial Officer of AT&T Business Solutions', 'Senior Vice President of Strategy', 'Senior Vice President of Small Business Solutions', 'CEO of AT&T Mexico', 'Chief Operating Officer of IPcelerate, Inc', 'Consultant at Bain & Company', 'Telecommunications officer in the U.S. Marine Corps']"
gerryhunt,"Executive Technology Leader experienced in managing large and complex infrastructure, operations, and architecture departments. Acknowledged for combining technology expertise with business acumen to develop and execute strategic projects and technology plans. I have managed teams at both the local (North America) and Global levels to create, manage, and maintain core infrastructure services. This experience relates to employees of global organizations as well as managed offshore services. Key Specialties • Strategic Planning and Implementation • Organizational Change Leadership • Influential Facilitator and Negotiator • Creative Problem Solver • Astute Technology Manager • ERP Implementations • Business Continuity & Disaster Recovery • Vendor Management • Standards & Architecture • Business / IT Relationship Management Management / Leadership Profile • Authoritative – Firm but fair, give clear direction • Affiliative / Participative - Build people, teams, and foster empowerment • Coaching – Encourage, educate, and grow
certifications: 
courses: ","['20+ years experience', 'Strategic Planning and Implementation', 'Organizational Change Leadership', 'Creative Problem Solver', 'Astute Technology Manager', 'ERP Implementations', 'Business Continuity & Disaster Recovery', 'Standards & Architecture']"
carlene-middleton-858061a,"Results-oriented Human Resources Specialist with 15 years, experience managing and guiding employees. Polished in conducting background checks, organizing and scheduling interviews and administering employment benefits. Cross-functional communicator, multi-tasker and solid problem-solver. Commended for creating positive organizational climate and improving employee morale and job satisfaction.
certifications: How to Be More Strategic in Six Steps, Strategic Human Resources, Human Resources: Running Company Onboarding, Dealing with Microaggression as an Employee, Google Calendar Essential Training, Learning Google Workspace Administration, Learning LinkedIn Recruiter, Social Recruiting for Recruiters, Overcome Overthinking, Creating Your Personal Brand, Cybersecurity at Work, 
courses: ","['15 years of experience as a Human Resources Specialist', 'Managing and guiding employees', 'Conducting background checks', 'Organizing and scheduling interviews', 'Administering employment benefits', 'Creating positive organizational climate', 'Improving employee morale and job satisfaction', 'Cross-functional communicator', 'Multi-tasker', 'Problem-solver', 'Strategic Human Resources', 'Learning LinkedIn Recruiter', 'Creating Your Personal Brand', 'Cybersecurity at Work']"
olivia-lemke-ba724b1ab,"Hi there! As I pursue my Master's degree and beyond, I am looking for connections to higher education and student affairs professionals. I am currently the Student Organizations & Engagement Manager for UW-Madison College of Engineering. I have passion and skills in student and program development, DEI initiatives, and collaboration. Feel free to review the details of my experiences on my profile. Please don't hesitate to contact me through a message on LinkedIn or by email. Thanks! Email: oklemke@wisc.edu
certifications: 
courses: Assessment in Higher Education, Internationalization of Higher Education, Leadership for Study Abroad Programs and International Student Services, Mobility and Inclusion in International Higher Education, Research Methods and Procedures in Educational Administration, Cognitive Psychology, Criminology, Developmental Psychology, Elementary Psychological Statistics, Research Methods, Sociology of Gender, Sociology of Health and Illness, Sociology of Race and Ethnicity, Sociology of the Modern City, Abnormal Psychology, Consumer Behavior, ","['Student Organizations and Engagement Manager, UW-Madison College of Engineering', 'DEI initiatives', 'Collaboration', 'Assessment in Higher Education (coursework)', 'Internationalization of Higher Education (coursework)', 'Leadership for Study Abroad Programs and International Student Services (coursework)', 'Mobility and Inclusion in International Higher Education (coursework)', 'Research Methods and Procedures in Educational Administration (coursework)', 'Cognitive Psychology (coursework)', 'Criminology (coursework)', 'Developmental Psychology (coursework)', 'Elementary Psychological Statistics (coursework)', 'Research Methods (coursework)', 'Sociology of Gender (coursework)', 'Sociology of Health and Illness (coursework)', 'Sociology of Race and Ethnicity (coursework)', 'Sociology of the Modern City (coursework)', 'Abnormal Psychology (coursework)', 'Consumer Behavior (coursework)']"
lukegibes,"Experienced Technology Specialist with a demonstrated history of working in the automotive and medical device industry. Skilled in computer aided design, electrical hardware, welding processes, and manual lathe and mill work. Strong engineering background with experience teaching college level courses.
certifications: 
courses: ","['Automotive and medical device industry experience', 'Engineering background', 'College-level course instructor', 'Computer aided design', 'Electrical hardware', 'Welding processes', 'Manual lathe and mill work']"
cryoung,"Experienced results-oriented Leader, Manager, and Program Specialist with a demonstrated history of work in the Aerospace industry. Skilled in Data Analysis, Program Operations & Management, IT Services, and Government Contracting. Strong program and project management professional with a BS focused in Power/Transportation Technology and Industrial Management from Missouri State University.
certifications: 
courses: ","['Aerospace industry experience', 'Data Analysis', 'Program Operations & Management', 'IT Services', 'Government Contracting', 'BS in Power/Transportation Technology and Industrial Management from Missouri State University']"
jose-velasco-coello-9958113b,"I am an automotive mechanical design engineer with over 15 years of experience in pre-development, development, ramp up and production maintenance. Development of Body-In-White, Glass, plastic, weather strips, harness routing and rubber parts within multicultural and global organizations. Knowledgeable in Catia V5/ V6 , SAP / Team Center and other PLM systems.
certifications: Green Belt, Team Center CAD author, Design Reviews for Effective product Development Seminar, DFMEA, Pro-Engineer, 
courses: ","['Automotive mechanical design engineer', '15+ years experience', 'Pre-development, development, ramp up, production maintenance', 'Body-in-white, glass, plastic, weather strips, harness routing, rubber parts', 'Multicultural and global organizations', 'Catia V5/ V6, SAP / Team Center, PLM systems', 'Green Belt', 'Team Center CAD author', 'Design Reviews for Effective product Development Seminar', 'DFMEA', 'Pro-Engineer']"
andrea-schneider-77206a220,"I am a young and excitable woman in the automotive industry. Day one I started as a Business Development Manager where I promoted and took on our internet leads with Luther Brookdale Volkswagen. I helped to clean up our social media page and throw out creative ideas to help us grow. I transitioned to our sales department where I chose to grow my skill set and learn other areas of a dealership environment. I have since grown a love for warranties and accessories. I have noticed these help both me and my guest. I want all guests to feel secure and excited when purchasing their new vehicle. I lead a class on warranties and accessories with my fellow sales consultants, when I help people I help myself as well with a little growth and a little learning from others. I enjoy buying vehicles, so when you vehicle shop with me it will be like taking your close friend along.
certifications: Volkswagen Elite Sales Training, 
courses: ","['Business Development Manager, Luther Brookdale Volkswagen, 1+ years', 'Salesperson, Luther Brookdale Volkswagen, 1+ years', 'Volkswagen Elite Sales Training', 'Warranties and accessories enthusiast', 'Leadership experience (leading classes on warranties and accessories)']"
anthony-frey-40192379,"An analytical and results-oriented finance professional with a proven record of accomplishment in trust and asset management, strategic planning/analysis, fiduciary compliance, product management, business development, and client services. An adaptable leader who uses strong interpersonal skills to communicate across departments, relaying important information and ensuring understanding of company processes. An innovative thinker who solves problems quickly to maintain smooth operations, promoting ongoing growth and prosperity for an institution.
certifications: Certified Public Accountant, General Securities Principal, Series 24, General Securities Representative, Series 7, Life and Health Insurance License, LA, Uniform Securities Agent, Series 63, 
courses: ","['Proven record in trust and asset management, strategic planning/analysis, fiduciary compliance, product management, business development, and client services.', 'Adaptable leader with strong interpersonal skills for effective communication across departments.', 'Innovative problem solver for maintaining smooth operations and promoting growth.', 'Certified Public Accountant', 'General Securities Principal, Series 24', 'General Securities Representative, Series 7', 'Life and Health Insurance License, LA', 'Uniform Securities Agent, Series 63']"
vernadra-hines-06265944,"I'm a caring, passionate, and loving person that strives to succeed and aim to add positivity every where I go.
certifications: 
courses: ",[]
matthew-merems-workdayhcmconsultant,"Experienced Workday Director with a demonstrated history of working in the information technology and services industry. Skilled in Microsoft Suite, Leadership, Trading Software, and Workday HCM Implementation. Strong education professional with a Bachelor's degree in Economics, Magna Cum Laude, from the Harriet L. Wilkes Honors College at Florida Atlantic University.
certifications: Workday Core Compensation Certification, Workday Launch Certification, Workday HCM Certification, Google Adwords certification, 
courses: ","['Workday Director', 'Microsoft Suite', 'Trading Software', 'Workday HCM', ""Bachelor's degree in Economics"", 'Workday Core Compensation Certification', 'Workday Launch Certification', 'Workday HCM Certification', 'Google Adwords certification']"
tanya-chase-9a6070234,"Detail Oriented, results driven administrative healthcare professional with over 17 years experience in both clinical and administrative functions. Passion for vaule-based healthcare for seniors with a commitment to public health outcomes.
certifications: 
courses: ","['17+ years of experience in healthcare', 'Committed to public health outcomes', 'Certified', 'Took courses']"
cedrick-hurd-91093862,"Over 15 years experience in the customer service management, project management and project coordination within the Health and Welfare industry. Superior skills in relationship building and operating in fast paced environments.
certifications: 
courses: ","['15+ years customer service management, project management, and project coordination in Health and Welfare industry', 'Relationship building', 'Fast-paced environment']"
holly-hoffmann-3829638a,"I have been in the banking industry for 25 years. I have worked for Chase Bank, Capital One and currently Hancock Whitney.
certifications: Life and Health License, State of LA, 
courses: ","['25 years of experience in banking', 'Chase Bank, Capital One, Hancock Whitney', 'Life and Health License']"
max-hunter,"I'm Max Hunter, a full-stack software engineer for Upstart in Columbus, OH. As a lifelong geek, I'm passionate about building beautiful, innovative UIs and am always eager to take on new challenges. When I'm not coding, I'm chasing after my 1 and 3 year olds around the house.
certifications: Exam 480: Programming in HTML5 with JavaScript and CSS3, Oracle Certified Associate, Java SE 8 Programmer, 
courses: ","['2 years experience', 'Software engineer at Upstart', 'Oracle Certified Associate (Exam 480)', 'HTML5, JavaScript, CSS3 & Java SE 8']"
lindsey-neville,"Passionate professional with 5 years of experience maintaining client relationships and delivering effective solutions. As a Health Client Manager, I work daily with my clients to facilitate positive experiences to their employees around their most important life events. I strive to continue to learn and grow while being a positive team member and collaborator in a global team environment. I am a graduate of The Ohio State University where I earned a Bachelor of Science in Business Administration with a specialization in Human Resources and a minor in Organizational Communication.
certifications: 
courses: ","['5 years of experience', 'Health Client Manager', 'Employee Experience Client Manager', 'Bachelor of Science in Business Administration', 'The Ohio State University', 'Human Resources specialization', 'Organizational Communication minor']"
lissi-gonzalez-4598b710a,"I have experience in customer service, retail, hospitality, and management. I love being able to help people and problems solving.
certifications: 
courses: ","['Customer Service, Retail, Hospitality, and Management experience', 'Passion for helping people and problem-solving']"
scott-schuley-11b7018,"Experienced Business banker providing personalized service and solutions to Business Owners and Business Community in the Greater Houston area for 15 years. Proven relationship builder in all aspects of banking with a strong emphasis on new business development, both depository and credit. My area of expertise -Commercial Real Estate Financing -Medical Practice and Equipment Financing -Revolving Lines of Credit -Operating Capital -Equipment Purchasing -Leasehold Improvements -Complex structure -Business Acquisition & Partner Buy-Outs
certifications: 
courses: ","['15 years of experience', 'Business banker', 'Greater Houston area', 'Relationship builder', 'New business development', 'Commercial Real Estate Financing', 'Medical Practice and Equipment Financing', 'Revolving Lines of Credit', 'Operating Capital', 'Equipment Purchasing', 'Leasehold Improvements', 'Complex structure', 'Business Acquisition & Partner Buy-Outs']"
katelynhilliker,"""Find out what you like doing best, and get someone to pay you for it."" - Katharine Whitehorn
certifications: 
courses: ",[]
ahsan-shah-79a373108,"I’m a Cyber Security Defense Professional Certified, currently working as IT Desktop Support Engineer with broad knowledge in a variety of fields – such as, information technology, law enforcement, physical security and customer service. Energetic self-starter, problem-solver and team player that is continually learning new technology for data protection, network security and became fascinated with cyber security. Fast learner with the ability to grasp new threats, concepts and technologies. The combination of my previous IT experience with my cyber security knowledge will make a great addition to your organization. SKILLS: Microsoft Windows OS, Mac OS, Linux, X shell, Scripting, Microsoft Intune, Microsoft Office, Antivirus, Firewalls, End Point Security, Virtual Machines, Service Now, Sales Force and Zendesk.
certifications: 
courses: Cloud Security, Computer Networking, Cyber Technologies, Ethical Hacking, Linux Security, Microsoft Security, Network Security, ","['5+ years of experience', 'Law enforcement, physical security, and customer service', 'IT Desktop Support Engineer', 'Cyber Security Defense Professional Certified', 'Microsoft Windows OS, Mac OS, Linux, X shell, Scripting, Microsoft Intune, Microsoft Office, Antivirus, Firewalls, End Point Security, Virtual Machines, Service Now, Sales Force, Zendesk']"
emilymikl,"Senior level front-end developer with proven end-to-end experience delivering enjoyable user experiences and beautiful, intuitive interfaces for enterprise-level software. Clear understanding of front-end technologies, frameworks, component libraries, design systems, and WCAG web accessibility.
certifications: 
courses: ","['Senior level front-end developer', 'Proven end-to-end experience delivering enjoyable user experiences and beautiful, intuitive interfaces', 'Clear understanding of front-end technologies, frameworks, component libraries, design systems, and WCAG web accessibility']"
sethuiel,"Having completed my undergraduate degree in Social Science Education - History at the University of Georgia, I continued to work as a retail manager for 3 years before starting my teaching career. I taught high school history, geography, and psychology for three years. In 2011 I returned to UGA to attain my masters in historic preservation. My thesis dealt with American policy and the protection of intangible cultural heritage practices. During my second year of graduate school, I start working for Raising Cane’s Chicken Fingers in Athens, GA. Within 2 months, I was promoted to Shift Manager. Working hard and developing the crew, I was able to move to Charlottesville, Virginia and take over as Operations Manager. After a year and a half growing the business and increasing the metric in Virginia, I took the opportunity to move to Denver, Colorado to open a new location in a brand new market. Through this new experience I have been able to develop marketing and community contacts in a new environment, hire, train, and develop a brand new staff, and set and maintain the level of excellence of our brand in a new market. My latest move brought me back to Chattanooga. I was hired as the opening general manager for a new Starbucks location in the expanding market. Working there for three years, I overcame challenges like retaining my staff, became the community lead for the district, and grew the business over my time there. In my next step, I have taken on the role of food & beverage supervisor at the Downtown Chattanooga Marriott. In this role, I have opened a new marketplace/coffee shop in the renovated great room, I oversee ordering and inventory for the space and Coke for the entire property, and lead day-to-day business for all food outlets. My latest move has brought me to First Citizens Bank as Sales and Service Representative for a target market. In this move I have found more opportunity and more of a work-life balance as I pursue my goals to enter into talent acquisition, development, and training. Within my first year, I moved up into the role of Operations Services Supervisor where I oversee the SSRs, ensure the branch is up to date on all file work, following regulations, and client satisfaction. In this role, I have hired, trained and developed new members to the banking family. My goal is to move into more of a human resources role. I find the most joy in helping others start their journey within a company. Training, development, teaching, and professional relationship development are all great passions of mine.
certifications: ServSafe Manager, Georgia Educator's Certification - Secondary Social Sciences, LEED Green Associate, 
courses: Building Materials Conservation, Cultural Landscape Documentation, Cultural Resource Assessment, Geographic Information Systems, Historic Architecture Documentation, Historic Site Interpretation, Issues in International Preservation, LEED, Preservation Graphics, Preservation Law, Vernacular Architecture, ","['14 years experience', 'Retail manager', 'Teacher', ""Shift manager, Raising Cane's"", ""Operations manager, Raising Cane's"", 'Opening general manager, Starbucks', 'Food & beverage supervisor, Marriott', 'Sales and service rep, First Citizens Bank', 'Operations services supervisor, First Citizens Bank', 'Geographic Information Systems', 'ServSafe Manager certification', 'LEED Green Associate certification', ""Georgia Educator's Certification (Secondary Social Sciences)""]"
temitayo-idowu-756b7a2a,"Experienced and motivated professional with outstanding customer relationship skills, ability to manage variety of tasks with strong attention to detail and organizational skills . Recognized as a Team player.
certifications: 
courses: ","['Customer relationship skills', 'Ability to manage variety of tasks ', 'Attention to detail', 'Organizational skills', 'Team player']"
brooke-habich-22a35a198,"With 15 years of financial experience in banks and credit unions, I am incredibly passionate about helping customers/members find a healthy financial journey and meet all their financial goals. I started as a teller back in 2008 and have been promoted several times to positions like personal banker, senior personal banker, assistant branch manager, licensed banker, designated supervisor, lending advisor and senior lending advisor. I am extremely self motivated with a thrive to be challenged. I work great with teams, and independently. I have a strong drive for results and a passion for exceeding expectations. Awarded for 1st and 2nd place as an LBE (Licensed Banker) for my sales and GDC numbers. I had the privilege to travel and attend LPL Financials seminars. Also honored to have been chosen to be a Project Money Coach with Summit Credit Union to help a young individual increase her savings and reduce her debt, and be one of the 4 contestants to win a $10,000 prize. NMLS #1086082
certifications: 
courses: ","['15 years of financial experience', 'Former teller, personal banker, senior personal banker, assistant branch manager, licensed banker, designated supervisor, lending advisor, senior lending advisor', 'Self-motivated, thrives on challenges', 'Strong team player, also works well independently', 'Strong drive for results, exceeds expectations', 'Awarded for top sales and GDC numbers as an LBE', 'Attended LPL Financials seminars', 'Honored as a Project Money Coach with Summit Credit Union', 'Won a $10,000 prize in a contest', 'NMLS #1086082']"
leia-quesada,"Javascript Developer building full-stack web applications
certifications: Programming Foundations: Databases, Sumo Logic Fundamentals, Registered Dental Assistant, Healthcare Provider / BLS (CPR AED) Certification, 
courses: ","['Frontend Developer specializing in JavaScript', 'Full-stack experience', 'JavaScript (software)', 'Sumo Logic Fundamentals', 'Database Programming', 'Registered Dental Assistant', 'Healthcare Provider certification with CPR and AED']"
ashwin-williams-40487354,"Seeking a role in an organization where I can leverage my technology experiences, business acumen and leadership attributes to propel the organization forward.
certifications: 
courses: ",[]
john-chill-14097925,"Highly accomplished, results-driven senior accounting and financial management executive with 17 years of progressive experience in finance and operations management. Demonstrated ability to streamline business operations that drive growth and increase efficiency and bottom line profit. Strong qualifications in developing and implementing financial controls and processes in addition to productivity improvements, and change management. Possess solid leadership, communication, and interpersonal skills to establish rapport with all levels of staff and management.
certifications: 
courses: ","['17 years of experience', 'Senior accounting and financial management executive', 'Finance and operations management', 'Streamline business operations for growth and efficiency', 'Implemented financial controls and processes leading to productivity improvements, change management', 'Solid leadership, communication, and interpersonal skills']"
fredrica-jones-7ab5b167,"Experienced Materials Management Specialist with a demonstrated history of working in the hospital & health care industry. Skilled in Customer Service, Microsoft Word, Microsoft PowerPoint, Continuous Improvement, and Strategic Planning. Strong operations professional with a Bachelor of Business Administration (B.B.A.) focused in Business Administration, Management and Operations from Strayer University Memphis, TN.
certifications: 
courses: ","['10+ Years of Experience', 'Healthcare Industry, Customer Service', 'Microsoft Office Suite (Word, PowerPoint)', 'Continuous Improvement', 'Strategic Planning', 'Bachelor of Business Administration']"
bianca-castello,"Biomedical Engineer | Neuroscience & Psychology Enthusiast | Project Management | Holistic Problem-Solver Passionate about leveraging my biomedical engineering expertise to create innovative solutions. With a strong focus on value-driven, creative and analytical approaches, I've successfully managed projects that have made a positive impact on healthcare. My interest in neuroscience and psychology enables me to approach challenges from a holistic perspective, leading to more comprehensive problem-solving. Open to networking and collaboration opportunities in the biomedical, psychology and healthcare industry.
certifications: Creating Behavioral Change, Foundations of Project Management, Biomedical Human Research Course, Biomedical Responsible Conduct of Research Course, 
courses: ","['Biomedical Engineer', 'Project Management', 'Creating Behavioral Change, Foundations of Project Management, Biomedical Human Research Course, Biomedical Responsible Conduct of Research Course']"
