meta_industry,col,count
Education and Training,Prepared NDSU team for regional Investment Research Challenge,1
Education and Training,Aspiring CPA & CFP,1
Services,Research,2
Services,President of Salsa Club Organization at Northern Virginia Community College,1
Services,"Coordination with mechanical, electrical, and security engineers",1
Services,HL7 Standards,1
Retail and Consumer Goods,Collaborates with operational teams,1
Retail and Consumer Goods,TV Series,1
Technology,Custom and package methodologies/software that support SDLC,1
Education and Training,Architectural Systems Failures,1
Education and Training,Program and project management,1
Education and Training,Social Cognitive Theory,1
Education and Training,PhD candidate,1
Education and Training,Micro-Scale Wind Turbine Design and Testing,1
Education and Training,"Masters in Strategic Communications, Penn State University",1
Education and Training,Food research,1
Education and Training,R,6
Education and Training,Collaboration with local National Federal of Blind chapter,1
Services,Excellent communication and relationship-building skills,1
Transportation and Logistics,Multiline Phone System,1
Transportation and Logistics,"Top Secret Clearance, exp. 8/26",1
Transportation and Logistics,IdentityIQ 7.2,1
Healthcare and Medical,Switchgear,1
Services,Trained and developed peers and leaders,1
Real Estate and Construction,Fast Food,1
Education and Training,Program and project planning,1
Retail and Consumer Goods,FPGA design,1
Services,Strategic communications,1
Manufacturing,Origin Lab,1
Retail and Consumer Goods,"Determined, hard-working, quick learner",1
Retail and Consumer Goods,Solar Panel Installation,1
Retail and Consumer Goods,eCommerce Site Merchandiser,1
Retail and Consumer Goods,Volleyball,1
Technology,Culture building,1
Healthcare and Medical,"Hardware Diagnostics', ""Associate's degree in Biomedical/Medical Engineering"", 'Draeger anesthesia machine certified",1
Education and Training,Building Collapse,1
Education and Training,Corporate relations,1
Education and Training,Expertise in DEI initiatives,1
Education and Training,3+ years of experience,2
Education and Training,Love learning and teaching new tools and technology,1
Education and Training,Cross-sector partnerships,1
Education and Training,"Pop culture, music, gaming (digital and print)",1
Education and Training,Microsoft Windows Server support,1
Education and Training,BA in History (2016),1
Transportation and Logistics,Previous experience and positions (Missing),1
Media and Entertainment,Standardized grammatical syntax and proofread metadata library descriptors,1
Education and Training,25+ years of experience as a university trainer for future school psychologists,1
Media and Entertainment,"Visual journalism and data roles (International Business Times, Vocativ)",1
Media and Entertainment,"Wire editor/reporter, Daily Sundial",1
Media and Entertainment,"Los Angeles Times, Travel + Leisure, Bon Appetit, MORE, Forbes International, Smithsonian",1
Retail and Consumer Goods,"Solely managed all PR operations, including pitching clients, writing press releases, and researching media",1
Services,IT strategy and planning,1
Manufacturing,Program manager,1
Manufacturing,Investigating 2D material devices,1
Retail and Consumer Goods,Employee engagement strategies,1
Technology,"Operations Management, University of Utah",1
Technology,Teleforms,1
Healthcare and Medical,Healthcare facilities and services maintenance and operations,1
Education and Training,Learning Assistant (1 year),1
Education and Training,Exceeds Us book (2023),1
Education and Training,Support and service,1
Education and Training,Introduction to Machine Learning,1
Education and Training,Causal Inference,1
Education and Training,Higher Education / Grassroots Research / Decolonization / Social Justice,1
Transportation and Logistics,YearUp,1
Technology,TestNG,1
Technology,Docker,1
Transportation and Logistics,Amateur Technician Class Operator,1
Government and Public Policy,Spanish,1
Education and Training,Church History,1
Education and Training,5 years in higher education,1
Education and Training,Branding,3
Education and Training,Strategic Communications Campaigns for the Digital Age,1
Services,Standards of excellence,1
Services,Reliable,1
Technology,"Human Resources focus, payroll",1
Technology,Debt Securities Analysis,1
Healthcare and Medical,Pinterest,1
Education and Training,Scientific conference presentations,1
Education and Training,DIY advocate,1
Education and Training,Penn State 2017 alumna,1
Education and Training,Data analytics in finance,1
Education and Training,Application of ABA to common human problems,1
Services,Expert in inclusion and innovation,1
Retail and Consumer Goods,"Strong interpersonal, communication, and leadership skills",1
Services,Scissor Lift,1
Services,Electrical Wiring,1
Education and Training,37+ Years of Experience (Teaching and Research),1
Transportation and Logistics,Business analysis,1
Media and Entertainment,LA Daily News,1
Government and Public Policy,Employee development,1
Education and Training,Giving back,1
Services,Phi Theta Kappa Honors Student,1
Services,Hardworking self-starter,1
Services,Federal Government Strategy,1
Services,Policy research,1
Manufacturing,Presentation Skills,1
Manufacturing,Secret Clearance,1
Manufacturing,Six Sigma,5
Retail and Consumer Goods,Cameron School of Business and Honors College at UNCW,1
Technology,"Expert team leadership, planning, organizational skills",1
Education and Training,Brain-computer interfaces,1
Financial and Investment,Customer and guest relations management,1
Media and Entertainment,IBS,1
Services,OBIEE/OBIA repository modeling,1
Services,"SAFe, PMP, ITIL, and Scrum Master certified",1
Services,Performance management,2
Services,"12+ years of experience in architecture, construction, project management, and interior design",1
Retail and Consumer Goods,Hybrid Project Management,1
Education and Training,"Faculty/staff supervision, recruiting, hiring, promotion, management, leading, team building, motivation",1
Education and Training,NFL professional athlete,1
Education and Training,Quantum optimal control,1
Education and Training,Battery fabrication,1
Education and Training,CATIA certification.,1
Education and Training,President of PennABA (2013),1
Education and Training,Certified Scrum Product Owner,1
Education and Training,Bachelor of Science - BS in Accounting and Economics from Penn State University,1
Education and Training,Theories of development / Geography and history of Latin America / Geography of Globalization / Global/Local Studies / Human Geography / Qualitative Methods of Research,1
Services,Print & Digital Systems,1
Services,Teacher,1
Transportation and Logistics,"Analyst, Full-stack web developer",1
Healthcare and Medical,15+ years of experience,3
Services,Volleyball,1
Services,Certified ScrumMaster (CSM),5
Education and Training,SQL,8
Education and Training,Infectious diseases,1
Government and Public Policy,Problem-Solving,1
Education and Training,"Educational technology, online communities, post-secondary transition",1
Services,Digital Electronics,1
Services,Participates in courses,1
Retail and Consumer Goods,Pool Leagues,1
Retail and Consumer Goods,Team development and leadership,1
Education and Training,Seeking Masters Degree in Counseling,1
Education and Training,Foundation of Fluid Mechanics I,1
Services,Edit and write various content,1
Services,25+ years Fleet Services Coordinator,1
Retail and Consumer Goods,Hard worker,1
Transportation and Logistics,SAFe 5 Practitioner,1
Transportation and Logistics,DC generators,1
Real Estate and Construction,Problem Solver,1
Education and Training,"Project planning, funding, construction, monitoring phases",1
Education and Training,Multi-tasking and organizational skills,1
Retail and Consumer Goods,State-recognized bands,1
Manufacturing,Senior Project,1
Manufacturing,Semiconductor/device physics,1
Technology,Vendor & contract management,1
Education and Training,Grant and technical writing and editing,1
Services,Detail-oriented with outstanding troubleshooting and analytical abilities,1
Services,"Manage people, products, and projects",1
Technology,"Mockito, JUnit, Espresso",1
Retail and Consumer Goods,Retail operations,1
Services,CPR certification,1
Retail and Consumer Goods,Criminal Justice degree goal,1
Real Estate and Construction,Designer,1
Media and Entertainment,Customer excellence,1
Media and Entertainment,Ventura County Star,1
Services,Revenue Cycle,1
Manufacturing,Systems engineer,1
Retail and Consumer Goods,Netflix,1
Technology,AON Retiree Health Exchange for 6+ years,1
Healthcare and Medical,Customer Service,5
Education and Training,Office Administration,2
Education and Training,Aerospace Engineer at Belcan (Prior Experience),1
Education and Training,Computer vision,2
Education and Training,CPR/AED/First Aid,5
Services,Nutrition in the Life Cycle,1
Education and Training,Office 365,1
Education and Training,On-site Support,1
Services,Behavior change theory,1
Services,Military,1
Manufacturing,"Meticulous planning, risk identification & mitigation, and managed project execution",1
Technology,"Creative, upbeat, innovative clinical project manager",1
Retail and Consumer Goods,Motion Graphics Design,1
Technology,Operations management,1
Technology,Corel Draw,1
Technology,Avilar Learning Management System,1
Healthcare and Medical,Operations Management ,1
Education and Training,Management of diverse groups,1
Education and Training,Geography of a Global Economy,1
Transportation and Logistics,Physical Security Professional (PSP),1
Transportation and Logistics,"Certified in RWP, AMT II, and NORAC rules",1
Transportation and Logistics,15+ years experience,1
Services,Equipment Maintenance,1
Services,Food and health sciences knowledge,1
Real Estate and Construction,Account Manager,2
Technology,Salesforce CRM,1
Education and Training,Computational and molecular biology ,1
Education and Training,Pharmaco-kinetics,1
Education and Training,Resilience,1
Manufacturing,Strategic decision-making,2
Manufacturing,Bash,1
Manufacturing,Spatial Analysis,1
Technology,"Certification, Prince2 Project Management, ",1
Technology,"Development Manager, Senior Software Consultant, Analyst",1
Education and Training,M.A. in communication education from the University of Northern Iowa,1
Education and Training,Teaching assistant for 4 engineering courses,1
Education and Training,Network Security,1
Services,Python,11
Media and Entertainment,PIX,1
Media and Entertainment,Collaborate well with all levels of the organization,1
Media and Entertainment,Management,1
Media and Entertainment,20+ years of experience,2
Services,APICS,1
Services,"Space management lifecycle, seating, and occupant facility density experience",1
Technology,"Agile methodologies (PO, PM, RTE, Architect)",1
Technology,Call center experience,1
Technology,International Marketing,2
Education and Training,"English, Art Education, Sculpture (Triple major)",1
Education and Training,Masters in Fluid & Thermal Engineering from IIT Guwahati (2013).,1
Healthcare and Medical,Excellent communication skills (years of experience not specified),1
Transportation and Logistics,General liability,1
Services,Honors Intro to Human Nutrition,1
Technology,Pursuing an MS in Sustainability Management from Columbia University,1
Education and Training,"Passionate about Diversity, Equity, and Inclusion",1
Media and Entertainment,Establishing expectations,1
Services,"Provided consulting services in Energy, Climate & Sustainability, and Public Sector practice areas",1
Manufacturing,Platoon Leader,1
Manufacturing,Shipping,1
Retail and Consumer Goods,Product/Process Design,1
Technology,Cyber Security Defense Professional Certified,1
Technology,FrontPage,1
Education and Training,Responsible Conduct of Research (Basic Course),1
Education and Training,Enjoys exceeding limits and taking on stress,1
Education and Training,"fMRI, fNIRS, EEG, ECG, Eye-Tracking",1
Education and Training,Passionate about Artificial Intelligence,1
Education and Training,Meter Proving,1
Education and Training,Creative Writing,2
Services,"Machine Learning, Computer Technology, Data Base Administrator (DBA)",1
Transportation and Logistics,LexisNexis,1
Transportation and Logistics,IAM solutions,1
Services,Indianna,1
Government and Public Policy,Produces,1
Education and Training,"Teacher, Researcher",1
Government and Public Policy,Higher education financial industry,1
Education and Training,Software Training,1
Education and Training,Leadership Management certification,1
Services,Director at Guidehouse,1
Manufacturing,Machine Learning certification,1
Manufacturing,The Linux Kernel,1
Retail and Consumer Goods,Training and development experience,1
Technology,Managing large and complex technology projects,1
Technology,"Standards Board member, Pi Kappa Phi",1
Technology,User research,1
Technology,Trading Software,1
Education and Training,Social and Behavioral Human Subjects Research (IRB) Course,2
Education and Training,Group 2 Social/Behavioral Investigators and Key Personnel,1
Financial and Investment,Internal Audit and Financial Controls,1
Transportation and Logistics,Rules Examiner,1
Transportation and Logistics,Leading Change,1
Transportation and Logistics,"Experience in recruiting and hiring process as well as mentoring new and/or, existing resources.",1
Transportation and Logistics,Manual Tester,1
Media and Entertainment,Frame iO,1
Media and Entertainment,Oracle OBI,1
Media and Entertainment,Software Engineer,2
Technology,Pytest,1
Education and Training,Public Relations,1
Services,PMP,2
Manufacturing,Integrating soft x-ray zone plate focusing optics into a specially modified ultra-high vacuum photoelectron in-operando spectrometer,1
Retail and Consumer Goods,Human Resources Administration,1
Technology,Healthcare navigation sector,1
Technology,Visual Studio,1
Education and Training,"""Cybersecurity Analytics and Operations Bachelor's degree"", 'Avid Programmer and Computer Enthusiast",1
Education and Training,International Political Theory,1
Education and Training,Industrial/Organizational Psychology,1
Education and Training,Rational Emotive Behavioural Therapy,1
Education and Training,Food and culture,1
Services,JavaScript,4
Real Estate and Construction,FranklinCovey Leadership Training,1
Education and Training,Access,3
Retail and Consumer Goods,30 years retail experience ,1
Retail and Consumer Goods,Vendor collaboration,1
Services,Technically- oriented problem solver,1
Manufacturing,Senior Lab I,1
Manufacturing,Product development,4
Technology,Operational leadership in Health Navigation department,1
Technology,UI design,1
Technology,trend analysis,1
Education and Training,Surface science,1
Education and Training,RACC-Certified Research Administrator (CRA),1
Education and Training,"Sailing instructor, Long Island, NY (summers)",1
Education and Training,Gaslift Fundamentals Training,1
Services,"Negotiation, Coaching, Team Building, Management, Account Management, Sales",1
Transportation and Logistics,"Passion for ""people"" and job search optimization",1
Transportation and Logistics,Certified Performance Technologist,1
Services,Inventory management,1
Media and Entertainment,10+ years of reporting experience,1
Education and Training,Personal growth,1
Services,Data integration of large datasets,1
Services,Real Estate Licenses,1
Services,11 years of experience,1
Services,Pipedream,1
Manufacturing,Process integration,1
Retail and Consumer Goods,enhancing customer experience,1
Technology,Supporting application teams,1
Education and Training,Office Manager,2
Education and Training,"Interested in working with athletes in sports performance/strength and conditioning, or in tennis coaching and instruction",1
Education and Training,Consultant,2
Services,Inventory Control,3
Retail and Consumer Goods,Guest loyalty,1
Transportation and Logistics,Results-driven and motivated individual,1
Transportation and Logistics,"Adult learning strategies, wellbeing, DEI tools",1
Transportation and Logistics,Certified Conductor CFR 49 part 242,1
Services,Working,1
Retail and Consumer Goods,Social media manager for two businesses in Washington state,1
Media and Entertainment,Intuit QuickBooks,1
Education and Training,"Doctorate in Clinical Psychology (Psy.D), Liberty University",1
Services,Innovative thinker,1
Services,Strong organizational and analytical abilities,1
Services,15 years of experience in enterprise software design and cloud engineering,1
Technology,VBA/Macros,1
Education and Training,Passionate fundraiser with demonstrated arts and higher ed history,1
Education and Training,SARTech II,1
Education and Training,Modeling of Dynamics Systems,1
Education and Training,Entrepreneurship,1
Manufacturing,Microsoft Office,2
Transportation and Logistics,Agile Project Leadership,1
Transportation and Logistics,"Supervisor, Retail Manager, Customer Service Representative",1
Transportation and Logistics,Self-motivated,1
Technology,Content development,2
Manufacturing,Salesforce,2
Retail and Consumer Goods,Customer service,3
Services,Strategic planning,7
Services,Personal Care Aid Certificate,1
Services,E/M,1
Services,Bridge end-to-end product/market needs,1
Services,Text annotation for machine learning,1
Technology,Mandarin proficient,1
Technology,Access,1
Healthcare and Medical,President,1
Healthcare and Medical,Biomedical Equipment Technician,1
Education and Training,"Bachelors Geoscience, University of Iowa, (2020)",1
Education and Training,Verified International Academic Qualifications,1
Education and Training,R/R Studio,1
Education and Training,"Highly skilled in planning, organizing, and collaborating",1
Services,Results-driven Warehouse Supervisor,1
Manufacturing,Supplementary results for imperative tasks,1
Retail and Consumer Goods,Lowest turnover rates and shrinks in the company,1
Transportation and Logistics,"Project Management, Leadership, Relationships, Communication",1
Healthcare and Medical,Identify opportunities for improvement,1
Education and Training,Future Resident Assistant,1
Services,Visio,1
Services,Communication skills,2
Services,Red Hat Certified Specialist in Ansible Automation,1
Services,Executive Administrative Assistant & Office Manager,1
Manufacturing,"Research in ultra-intense laser and matter interactions, dielectric materials, thin-film coatings, semiconductors, substrate materials",1
Retail and Consumer Goods,10+ years of experience in retail,1
Technology,Optimizes business process as a service (BPaaS),1
Technology,Chartered Retirement Planning Counselor,1
Education and Training,Artist & teacher,1
Education and Training,Forensic Chemistry,1
Education and Training,Community mental health,1
Education and Training,CRL - Certified Reliability Leader,1
Education and Training,Personality Psychology,1
Education and Training,Physics of Gas Measurement,1
Education and Training,Horticulture and mushroom science minors,1
Services,Furniture Repair Specialist,1
Services,Sales industry experience,1
Services,C++,4
Retail and Consumer Goods,Waiting tables (restaurant business),1
Healthcare and Medical,Customer satisfaction,1
Transportation and Logistics,"Application/system architect, design, requirements gathering, development, testing, prod deployment, hyper-care, prod support.",1
Transportation and Logistics,Experienced with high & low voltage systems on passenger trains,1
Services,Customer service,6
Services,Time management,3
Services,Crowd supervision,1
Technology,Google Digital Marketing & E-commerce Professional Certificate,1
Education and Training,Prior experience as a practicing school psychologist in public schools,1
Education and Training,Strong background in applied statistics,1
Transportation and Logistics,Network+,1
Media and Entertainment,IAB Digital Media Sales,1
Government and Public Policy,Presentations,1
Education and Training,Dell Certified Hardware Technician,1
Retail and Consumer Goods,board-level circuit design,1
Services,Process improvement,5
Services,Ethics/Compliance Training,1
Services,Public Sector Consulting,1
Services,Patient Access Redesign,1
Services,Stakeholder Analysis and Management,1
Services,"Cash and regulatory controls, reconciliations, cash flow management, data control, process automation and improvement, insurance payment processing, insurance and patient billing, and customer service",1
Manufacturing,Certifications,1
Manufacturing,SAP,3
Retail and Consumer Goods,Provides insight and experience to help companies grow,1
Technology,Team player,2
Education and Training,Administrative Assistant,2
Education and Training,Social services,1
Education and Training,Problem-solving,5
Education and Training,Database management,1
Technology,Skills development,1
Healthcare and Medical,Operational excellence,1
Transportation and Logistics,"Personal, reliable, fast to learn, produce quality work",1
Services,"Enthusiasm, positivity, hard work",1
Media and Entertainment,Media Shuttle,1
Media and Entertainment,PeopleSoft,1
Services,Patient Accounting,1
Technology,Test planning and management,1
Technology,"Kit, people, and process management specialist",1
Technology,Positive attitude,1
Education and Training,First Steps Photography certification,1
Education and Training,"Masters Geoscience, Penn State, (2022)",1
Education and Training,Machine learning,4
Education and Training,Computer Architecture,2
Education and Training,"C, C++ (Experience)",1
Services,General Chemistry,1
Real Estate and Construction,"MBA, Business Administration and Management (Education)",1
Media and Entertainment,Inventory management,1
Media and Entertainment,Executive Creative Director,1
Manufacturing,Operations subject matter expert,1
Services,Curiosity and creativity,1
Services,Large-scale system implementations,1
Services,Graduated from the University of Michigan in December 2021,1
Technology,System Administrator,1
Education and Training,Intern at MTU Aero Engines (Prior Experience),1
Education and Training,"MA in Art History, August 2023",1
Education and Training,Raised over $14 million in gifts and planned gifts,1
Education and Training,"Python Data Visualization (Coursera, Online Course Audited Aug 2023)",1
Education and Training,Collaboration with AI and software development scientists (mixed-methods studies),1
Manufacturing,Inside Sales,1
Manufacturing,Sales,5
Manufacturing,10+ years of experience,6
Financial and Investment,Safe MLO License,1
Services,0 yrs experience,1
Retail and Consumer Goods,CompTIA Cysa+ certification goal,1
Media and Entertainment,Word,1
Education and Training,27+ Years of Experience (Industry),1
Education and Training,Humanities Honors Program,1
Education and Training,Agency project management,1
Media and Entertainment,Communicating about culturally sensitive issues,1
Education and Training,World History,1
Services,Denials Management,1
Services,"Tenant fit-out, mixed-use government, private, and institutional projects",1
Manufacturing,Problem-solving,2
Manufacturing,14 years experience in Civil/ Environmental Engineering,1
Retail and Consumer Goods,Led a small team,1
Technology,T-SQL,1
Education and Training,Programming,3
Education and Training,Geography of Water Resources,1
Education and Training,Master’s (2005),1
Transportation and Logistics,IdentityIQ 7.1,1
Transportation and Logistics,IT Service Management,1
Real Estate and Construction,Professional Sports,1
Education and Training,Traveling,1
Education and Training,Change Agent,1
Education and Training,Communications,6
Services,SASB FSA,1
Services,Work across the global energy value chain,1
Technology,SQL Analysis Services,1
Education and Training,"Sales Associate, Polo Ralph Lauren', ""Server, Guy Fieri's restaurant"", 'Microsoft Office Suite (Excel, Word, PowerPoint)",1
Education and Training,User support,1
Manufacturing,Hydraulics,1
Transportation and Logistics,Mobile Crane Inspector cert,1
Healthcare and Medical,30+ countries of experience,1
Services,Extensive experience in human resources,1
Education and Training,2 years experience,3
Services,Product launch,1
Services,Robotics,2
Retail and Consumer Goods,Technical Writing,1
Technology,Ability to manage variety of tasks ,1
Education and Training,Multiple peer-reviewed publications,1
Education and Training,"Hydrocarbon metering engineer, production monitoring, task scheduling",1
Transportation and Logistics,Staffing and recruiting,1
Transportation and Logistics,Data-Driven Decision-Making for Business Professionals,1
Services,11 years of experience in eDiscovery and document review,1
Media and Entertainment,Bystander Training,1
Government and Public Policy,Regulatory compliance oversight,1
Education and Training,Critical thinking and problem solving,1
Retail and Consumer Goods,"Exceptional interpersonal skills, professional demeanor",1
Services,"Team leadership, stakeholder relations",1
Services,Written Communication,1
Manufacturing,19 years of experience,1
Technology,UX design,1
Education and Training,Vacuum technology,1
Education and Training,Coalitions,1
Education and Training,INCIDENT PREVALENCE IN OIL AND GAS CONSTRUCTION INDUSTRY,1
Transportation and Logistics,Best-in-class experience finding top talent,1
Transportation and Logistics,"Managed physical assets, maintenance personnel, and projects",1
Technology,0 years of experience,4
Technology,C++,5
Media and Entertainment,5+ years of experience,1
Services,MBA ,1
Manufacturing,Optical Parametric Laser Systems,1
Manufacturing,Statistical and Bayesian analysis,1
Retail and Consumer Goods,Adobe Photoshop,1
Technology,Advanced Portfolio Management,1
Healthcare and Medical,Ventilator training,1
Education and Training,5+ years postdoctoral experience,1
Education and Training,Manages a team of Advancement and Gift Specialists,1
Education and Training,Data processing,1
Education and Training,Problem Solving,2
Education and Training,APPA EFP (Educational Facilities Professional),1
Education and Training,Lab assistant for the Department of Food Science at Penn State,1
Transportation and Logistics,Review RFI/RFP and evaluate proposals. Evaluate new technologies,1
Healthcare and Medical,Product Development,1
Education and Training,Communication skills,3
Services,CPT,1
Manufacturing,AWS Cloud Practitioner,1
Manufacturing,Loss analysis,1
Manufacturing,Advanced Linux,1
Manufacturing,Company Commander,1
Technology,Customer service,4
Healthcare and Medical,Developing sustainable action plans,1
Education and Training,Critical Thinking,3
Education and Training,Nutritional Science major,1
Education and Training,Sensory science,1
Manufacturing,Steven Covey Leadership Training,1
Financial and Investment,project management,1
Transportation and Logistics,M365 solutions,1
Real Estate and Construction,30+ years experience,1
Real Estate and Construction,Real Estate,1
Real Estate and Construction,Sales and marketing,1
Education and Training,"Financial Management, Journal of Corporate Finance, International Review of Economics and Finance",1
Media and Entertainment,Account Management,2
Education and Training,Sports,2
Education and Training,Creative problem-solving,1
Services,Organizational change management strategies,1
Services,Commercial and public sector clients,1
Services,Google Analytics for Beginners,4
Services,Partner and Chief Growth Officer at Guidehouse,1
Manufacturing,9 Years of Experience,1
Manufacturing,"Ability to troubleshoot and repair circuit breakers, transformers, and regulated power supplies",1
Retail and Consumer Goods,Project Management Methodologies,1
Technology,Responsive grids,1
Education and Training,Highly skilled communicator and listener,1
Education and Training,Player Monitoring and Performance Development,1
Education and Training,"Life, accident, and health insurance license (Pennsylvania).",1
Education and Training,PhD cybersecurity research,1
Services,Visual Communication,1
Technology,"Algorithms (Sort, Search, Hashing)",1
Transportation and Logistics,"""20 years' experience"", 'Program & Security Director",1
Transportation and Logistics,OpenIDM,1
Services,Community & Emergency Response Team (CERT),1
Services,Business and Human Resource Management (Minor),1
Services,Advised on search terms and eDiscovery planning,1
Education and Training,HPLC spectroscopy,1
Media and Entertainment,Providing feedback,1
Manufacturing,Processing outbound domestic and international shipments,1
Manufacturing,"Strong mechanical background (troubleshoot machined parts, vacuum chambers, automated controls, belt / pulley motor drives)",1
Retail and Consumer Goods,Retail store manager,1
Technology,Data warehousing,1
Technology,Health Client Manager,1
Education and Training,0 years of experience,10
Education and Training,TPI Certified Fitness Level 2,1
Education and Training,Geospatial Analyst,1
Education and Training,Software Applications,1
Services,"Bachelor of Science in Business Administration, East Central University",1
Transportation and Logistics,Client relationship management,1
Transportation and Logistics,ITIL®,1
Services,Google Analytics Individual Qualification,3
Services,Certified Scrum Product Owner (CSPO),5
Education and Training,Adult First Aid/CPR,1
Education and Training,Financial Accounting,1
Education and Training,NMR spectroscopy,1
Education and Training,Program and Project Management,1
Education and Training,"City of Columbus, $4.6M green infrastructure project",1
Services,Business requirements definition,1
Services,"18,000+ Public Sector Consulting Experience",1
Services,12+ years of experience,1
Manufacturing,CPA,1
Retail and Consumer Goods,Developing HR policies,1
Retail and Consumer Goods,serving customers,1
Technology,Vendor Management & Governance,1
Healthcare and Medical,Health care and pharmaceutical industries experience,1
Education and Training,"Substitute teacher, Teaching Assistant.",1
Education and Training,Mentoring/advising,1
Education and Training,2 years of experience in environmental chemistry research,1
Education and Training,Developing short and long-term plans,1
Education and Training,"Foundations of GMP (United States Pharmacopeia, Online Course Completed Jan 2023)",1
Education and Training,Introduction to Soil Sciences,1
Education and Training,ACH Analysis Tools,1
Manufacturing,7 years of experience in analytical supply chain profession,1
Manufacturing,Advertising,1
Retail and Consumer Goods,"Driving results, contributing to team efforts, and orchestrating projects",1
Miscellaneous,Strategic Business Planning,1
Financial and Investment,CISA,1
Transportation and Logistics,Myers-Briggs Type Indicator,1
Transportation and Logistics,Medical malpractice,1
Healthcare and Medical,Sales Engineering,1
Services,History emphasis,1
Media and Entertainment,BOX,1
Education and Training,"Postdoc Research Associate, Iowa State University",1
Government and Public Policy,Non-Traditional Student Dedication,1
Services,CompTIA Security+ CE,1
Services,Business intelligence,1
Services,Git,1
Technology,Superior people and leadership skills,1
Retail and Consumer Goods,Certified ScrumMaster® (CSM®),1
Retail and Consumer Goods,Sell-SMaRT Training Program,1
Retail and Consumer Goods,Donald Jellison,1
Retail and Consumer Goods,Word,2
Technology,Taller \u200bde Oratoria Voz y Dicción,1
Education and Training,Passionate about communication and building relationships,1
Education and Training,PhD,1
Education and Training,Microsoft Office 365,1
Retail and Consumer Goods,Sales focus,1
Transportation and Logistics,10 years of experience in bridge inspection and railroad construction management,1
Transportation and Logistics,Prosci Change Management,1
Retail and Consumer Goods,Information Security System Professional certification goal,1
Media and Entertainment,On-Air Operations Supervisor,1
Services,20 years of experience,6
Technology,Organizational Communication minor,1
Education and Training,Fundraising,3
Education and Training,System Administrator,1
Services,"Keen eye for detail, accurate databases and workflow organization",1
Retail and Consumer Goods,Analytical,1
Services,Information management,1
Education and Training,Biotechnology,2
Government and Public Policy,4+ years digital marketing experience,1
Services,RESTful API,1
Technology,Shared population insights,1
Healthcare and Medical,Microsoft Word,5
Education and Training,Neuromorphic materials,1
Education and Training,Research at Penn State revolves around the historical and contemporary relationships between news organizations and the public.,1
Education and Training,Statistics,2
Education and Training,Sun Safety Certification,1
Education and Training,Data science workshops for government agencies,1
Services,Salesforce Business Analyst,1
Transportation and Logistics,SERFF,1
Transportation and Logistics,Human Response to Stress,1
Healthcare and Medical,"Global trade analyst for ASP, a Fortive medical device manufacturing company",1
Services,Proficient in running and management of a business,1
Retail and Consumer Goods,Store director,1
Education and Training,Social Work,1
Education and Training,200+ User Interviews,1
Education and Training,2+ years of experience as Senior Planning Engineer at Larsen & Toubro Ltd.,1
Education and Training,Bleeding Control for the Injured (B-Con),1
Education and Training,Applied Materials Chemistry for Engineers,1
Education and Training,Leadership and collaboration experience,1
Education and Training,Produced new types of fuel from biomass,1
Technology,"OkHttp, Volley, Retrofit",1
Miscellaneous,Cross-Functional Team Leadership,1
Services,Long term employment seeking CAD technician,1
Transportation and Logistics,Certifications (Missing),1
Services,Google Ads Shopping Certification,1
Education and Training,Team leadership,2
Government and Public Policy,Assistant Vice President of Compliance,1
Services,Disaster Recovery Solution,1
Manufacturing,Autonomous Robotics,1
Retail and Consumer Goods,5+ Years of Experience,1
Technology,MIS and IT mainframe programming,1
Technology,Financial Risk Management,1
Education and Training,Undergraduate in Physics at Penn State University University Park,1
Education and Training,Strategic partnerships,1
Education and Training,"PHR certification ', ""Bachelor's degree from Indiana University of Pennsylvania""",1
Services,Catering and event coordination,1
Healthcare and Medical,finance,1
Healthcare and Medical,Personal Care Home Administrator,1
Services,Time Management,4
Services,Team and communication skills,1
Education and Training,Bio-conjugate synthesis,1
Education and Training,Social media management,2
Services,27+ years with Accenture,1
Services,Master of Business Administration (MBA) focused in International Business,1
Manufacturing,Resource allocation,1
Retail and Consumer Goods,excellent customer service skills,1
Technology,Release management,1
Technology,Leverages proprietary AI and data analytics,1
Technology,solution ownership,1
Education and Training,ITIL Foundations certification,1
Education and Training,Stochastic algorithms in machine learning,1
Education and Training,Support for Operations projects,1
Retail and Consumer Goods,Competent in retail industry and customer care,1
Retail and Consumer Goods,Visual merchandising,2
Financial and Investment,Fast-paced environment experience,1
Retail and Consumer Goods,Certified Servsafe Instructor / Proctor,1
Transportation and Logistics,Real Estate Sales Associate certification,1
Media and Entertainment,SmartPO,1
Media and Entertainment,9+ years Software Testing & Quality Assurance experience,1
Education and Training,"Committed to continous learning, holds a PhD in Anthropology with applied Quantitative and Qualitative Statistics, and stays updated on advancements in data science.",1
Education and Training,"Principles of Finance, Investments, International Finance, Financial Markets",1
Education and Training,CompTIA A+,1
Education and Training,Google Project Management certified,1
Services,Appointment setting,1
Services,Motion & Time Study,1
Services,Strong problem-solving abilities,1
Manufacturing,KLA-Tencor,1
Manufacturing,Beam alignment,1
Technology,HTML,4
Education and Training,Business and Social Skills,1
Education and Training,"Material characterization (reflectance spectroscopy, X-ray photoelectron spectroscopy, scanning electron microscopy)",1
Education and Training,Wind Tunnel Design and Testing,1
Education and Training,Electrochemical model development,1
Education and Training,Token reinforcement,1
Retail and Consumer Goods,Business analytics,1
Healthcare and Medical,SaaS solutions,1
